,scores,pre_label
0,-3.4112680192586717,0
1,-3.4112680192586717,0
2,12.540769287991433,1
3,-3.4112680192586717,0
4,12.540769287991433,1
5,0.9933744873623286,1
6,-3.4112680192586717,0
7,0.9933744873623286,1
8,0.9933744873623286,1
9,0.9933744873623286,1
10,-3.4112680192586717,0
11,12.540769287991433,1
12,12.540769287991433,1
13,0.9933744873623286,1
14,0.9933744873623286,1
15,12.540769287991433,1
16,12.540769287991433,1
17,-3.4112680192586717,0
18,0.9933744873623286,1
19,-3.4112680192586717,0
20,0.9933744873623286,1
21,-3.4112680192586717,0
22,12.540769287991433,1
23,12.540769287991433,1
24,12.540769287991433,1
25,-3.4112680192586717,0
26,-3.4112680192586717,0
27,12.540769287991433,1
28,0.9933744873623286,1
29,0.9933744873623286,1
30,-3.4112680192586717,0
31,-3.4112680192586717,0
32,-3.4112680192586717,0
33,-3.4112680192586717,0
34,0.9933744873623286,1
35,-3.4112680192586717,0
36,-3.4112680192586717,0
37,-3.4112680192586717,0
38,12.540769287991433,1
39,-3.4112680192586717,0
40,-3.4112680192586717,0
41,-3.4112680192586717,0
42,12.540769287991433,1
43,0.9933744873623286,1
44,-7.0364339933116495,0
45,12.540769287991433,1
46,12.540769287991433,1
47,12.540769287991433,1
48,0.9933744873623286,1
49,0.9933744873623286,1
50,-3.4112680192586717,0
51,0.9933744873623286,1
52,12.540769287991433,1
53,-3.4112680192586717,0
54,-3.4112680192586717,0
55,-3.4112680192586717,0
56,-7.0364339933116495,0
57,-3.835031167067174,0
58,-7.0364339933116495,0
59,-7.0364339933116495,0
60,-3.835031167067174,0
61,-3.4112680192586717,0
62,12.540769287991433,1
63,-7.0364339933116495,0
64,-7.0364339933116495,0
65,-7.0364339933116495,0
66,-3.4112680192586717,0
67,-3.4112680192586717,0
68,-7.0364339933116495,0
69,-7.0364339933116495,0
70,12.540769287991433,1
71,12.540769287991433,1
72,0.9933744873623286,1
73,-3.4112680192586717,0
74,-7.0364339933116495,0
75,12.540769287991433,1
