N,A,pre_label
1661.197992,1666.322149,1
2.969741153,2.919722717,0
8.124933463,8.124933463,0
8.124933463,8.124933463,0
8.124933463,235.0453391,1
2.919722717,2.919722717,0
0.322210469,2.919722717,0
8.124933463,2.919722717,0
8.124933463,0.322210469,0
2.919722717,0.322210469,0
8.124933463,0.322210469,0
8.124933463,0.33239672,0
8.124933463,2.919722717,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.322210469,0
2.919722717,0.33239672,0
2.919722717,0.33239672,0
2.919722717,0.33239672,0
0.322210469,0.33239672,0
0.322210469,0.33239672,0
8.124933463,0.322210469,0
0.322210469,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.322210469,0
8.124933463,0.322210469,0
8.124933463,0.322210469,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
0.322210469,0.33239672,0
8.124933463,2.919722717,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.322210469,0
2.919722717,0.337631966,0
8.124933463,0.33239672,0
0.322210469,0.337631966,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
0.322210469,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.337631966,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
0.322210469,0.33239672,0
0.322210469,0.33239672,0
0.322210469,24.52156023,1
8.124933463,0.322210469,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
8.124933463,0.337631966,0
0.322210469,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
2.919722717,0.337631966,0
8.124933463,0.33239672,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
8.124933463,0.33239672,0
0.322210469,0.322210469,0
8.124933463,0.33239672,0
2.919722717,0.33239672,0
2.919722717,0.337631966,0
8.124933463,0.33239672,0
8.124933463,24.52156023,1
0.322210469,0.33239672,0
0.322210469,0.33239672,0
0.322210469,24.52156023,1
8.124933463,0.337631966,0
2.919722717,24.52156023,1
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
8.124933463,0.33239672,0
0.322210469,0.33239672,0
8.124933463,0.337631966,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
0.322210469,0.337631966,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
8.124933463,24.52156023,1
2.919722717,0.337631966,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
2.919722717,24.52156023,1
8.124933463,0.33239672,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
2.919722717,0.33239672,0
8.124933463,24.52156023,1
0.322210469,24.52156023,1
2.919722717,0.337631966,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
2.919722717,0.337631966,0
2.919722717,0.337631966,0
2.919722717,24.52156023,1
8.124933463,24.52156023,1
8.124933463,24.52156023,1
8.124933463,0.337631966,0
8.124933463,0.337631966,0
8.124933463,0.33239672,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
8.124933463,24.52156023,1
8.124933463,0.337631966,0
8.124933463,0.337631966,0
2.919722717,0.33239672,0
8.124933463,0.337631966,0
8.124933463,24.52156023,1
2.919722717,0.337631966,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,24.52156023,1
8.124933463,0.33239672,0
8.124933463,0.33239672,0
8.124933463,0.337631966,0
