,score,pre
0,-0.9549951105921453,0
1,-1.0170933822258041,0
2,-0.9833711135422254,0
3,-0.9833711135422254,0
4,-0.9833711135422254,0
5,-0.9833711135422254,0
6,-0.9833711135422254,0
7,-0.9833711135422254,0
8,-0.9549629084607563,0
9,-0.9999851014673383,0
10,-0.9999851014673383,0
11,0.954962908460756,1
12,-0.9549951105921453,0
13,-0.9549951105921453,0
14,-1.0000113220776372,0
15,-1.0170933822258041,0
16,-1.0000113220776372,0
17,-1.0000113220776372,0
18,-0.9760140937999477,0
19,-0.9999851014673383,0
20,-1.0000113220776372,0
21,-1.0230913676189066,0
22,-1.0230913676189066,0
23,-1.0000113220776372,0
24,-0.9999851014673383,0
25,-1.0230829692424062,0
26,-1.0000113220776372,0
27,-0.9998806191613485,0
28,-1.0000113220776372,0
29,-0.9999342968457502,0
30,-1.0000113220776372,0
31,-1.0000113220776372,0
32,-0.9999091664751198,0
33,-0.9999091664751198,0
34,-0.9999826558582845,0
35,-1.0230913676189066,0
36,-0.9999851014673383,0
37,-0.9999851014673383,0
38,-0.9999851014673383,0
39,-0.9999851014673383,0
40,-0.9999851014673383,0
41,-1.0000113220776372,0
42,-1.0230913676189066,0
43,-1.0230913676189066,0
44,-0.9999851014673383,0
45,-1.0230829692424062,0
46,-1.0000113220776372,0
47,-0.9998806191613485,0
48,-1.0000113220776372,0
49,-0.9999342968457502,0
50,-1.0000113220776372,0
51,-0.9999851014673383,0
52,-1.0000113220776372,0
53,-1.0000113220776372,0
54,-1.0230913676189066,0
55,-0.9999091664751198,0
56,-1.0230913676189066,0
57,-0.9999091664751198,0
58,-0.9999851014673383,0
59,-1.0230829692424062,0
60,-1.0000113220776372,0
61,-1.0000113220776372,0
62,-1.0230789862628813,0
63,-1.0000113220776372,0
64,-1.0000113220776372,0
65,-1.0000113220776372,0
66,-0.9999342968457502,0
67,-1.0000113220776372,0
68,-1.0000113220776372,0
69,-0.9999091664751198,0
70,-0.9999091664751198,0
71,-0.9999826558582845,0
72,-1.0230913676189066,0
73,-0.9999851014673383,0
74,-0.9999851014673383,0
75,-0.9999851014673383,0
76,-0.9999851014673383,0
77,-0.9999851014673383,0
78,-1.0000113220776372,0
79,-1.0230913676189066,0
80,-1.0230913676189066,0
81,-0.9999851014673383,0
82,-1.0230829692424062,0
83,-1.0000113220776372,0
84,-1.0000113220776372,0
85,-1.0230789862628813,0
86,-1.0000113220776372,0
87,0.9997251524905346,1
88,-0.9999851014673383,0
89,-1.0000113220776372,0
90,-1.0230913676189066,0
91,-1.0230913676189066,0
92,-0.9999851014673383,0
93,-1.0230829692424062,0
94,-1.0000113220776372,0
95,-1.0000113220776372,0
96,-1.0230789862628813,0
97,-1.0000113220776372,0
98,0.9997251524905346,1
99,-0.9999851014673383,0
100,-1.0000113220776372,0
101,-1.0230913676189066,0
102,-1.0230913676189066,0
103,-0.9999851014673383,0
104,-1.0230829692424062,0
105,-1.0000113220776372,0
106,-1.0000113220776372,0
107,-1.0230789862628813,0
108,-1.0000113220776372,0
109,0.9997251524905346,1
110,-0.9999851014673383,0
111,-1.0000113220776372,0
112,-1.0230913676189066,0
113,-1.0230913676189066,0
114,-0.9999851014673383,0
115,-0.9999851014673383,0
116,-1.0000113220776372,0
117,-1.0230913676189066,0
118,-1.0230913676189066,0
119,-1.0000113220776372,0
120,-0.9999851014673383,0
121,-1.0230829692424062,0
122,-1.0000113220776372,0
123,-0.9998806191613485,0
124,-1.0000113220776372,0
125,-0.9999342968457502,0
126,-1.0000113220776372,0
127,-1.0000113220776372,0
128,-0.9999091664751198,0
129,-0.9999091664751198,0
130,-0.9999826558582845,0
131,-1.0230913676189066,0
132,-0.9999851014673383,0
133,-0.9999851014673383,0
134,-0.9999851014673383,0
135,-0.9999851014673383,0
136,-0.9999851014673383,0
137,-1.0000113220776372,0
138,-1.0230913676189066,0
139,-1.0230913676189066,0
140,-0.9999851014673383,0
141,-1.0230829692424062,0
142,-1.0000113220776372,0
143,-0.9998806191613485,0
144,-1.0000113220776372,0
145,-0.9999342968457502,0
146,-1.0000113220776372,0
147,-0.9999851014673383,0
148,-1.0000113220776372,0
149,-1.0000113220776372,0
150,-1.0230913676189066,0
151,-0.9999091664751198,0
152,-1.0230913676189066,0
153,-0.9999851014673383,0
154,-1.0230829692424062,0
155,-1.0000113220776372,0
156,-1.0000113220776372,0
157,-1.0230789862628813,0
158,-1.0000113220776372,0
159,-1.0000113220776372,0
160,-1.0000113220776372,0
161,-1.0000113220776372,0
162,-0.9999342968457502,0
163,-1.0000113220776372,0
164,-0.9999091664751198,0
165,-1.0000113220776372,0
166,-0.9999091664751198,0
167,-0.9999091664751198,0
168,-0.9999826558582845,0
169,-1.0230913676189066,0
170,-0.9999851014673383,0
171,-0.9999851014673383,0
172,-0.9999851014673383,0
173,-0.9999851014673383,0
174,-0.9999851014673383,0
175,-1.0000113220776372,0
176,-1.0230913676189066,0
177,-1.0230913676189066,0
178,-0.9999851014673383,0
179,-1.0230829692424062,0
180,-1.0000113220776372,0
181,-1.0000113220776372,0
182,-1.0230789862628813,0
183,-1.0000113220776372,0
184,-1.0000113220776372,0
185,-1.0000113220776372,0
186,-0.9999342968457502,0
187,-1.0000113220776372,0
188,-1.0000113220776372,0
189,-0.9999091664751198,0
190,-0.9999091664751198,0
191,-0.9999826558582845,0
192,-1.0230913676189066,0
193,-0.9999851014673383,0
194,-1.0000113220776372,0
195,-0.9999851014673383,0
196,-0.9999851014673383,0
197,-0.9999851014673383,0
